,Brightness_Class,Id
254,0,19246
255,0,27281
256,0,19880
257,1,22643
258,0,2910
259,1,21643
260,1,24208
261,0,11094
262,0,8860
263,1,8000
264,0,19252
265,0,8491
267,0,845
268,0,6642
269,0,14357
270,0,969
272,1,16037
273,1,22749
274,0,1730
275,1,13790
276,1,8096
277,0,26685
278,0,19285
279,1,20580
280,0,9637
281,1,6062
282,0,17315
283,1,20035
285,1,21914
286,0,13944
287,1,17150
288,1,3980
289,0,24219
290,1,8740
291,1,17936
292,1,21735
293,0,9312
294,0,29943
295,0,27793
296,0,28284
297,1,23398
298,1,1841
299,0,21987
300,0,14701
301,0,12563
302,0,20658
303,0,15413
304,0,4473
305,0,19351
306,1,26724
307,1,4445
308,0,3064
309,0,18232
310,0,13092
311,0,24385
312,1,10736
313,0,17403
314,1,20408
315,1,18556
316,0,1725
317,0,24336
318,1,1498
319,1,19458
320,1,6891
321,0,27074
322,0,985
323,0,26557
324,1,24097
325,1,16050
326,1,29217
327,0,18046
328,0,24590
329,0,15362
330,0,9551
331,0,10773
332,1,14892
333,0,29622
334,0,25778
335,1,21551
336,1,12679
337,0,144
338,0,21376
339,0,4909
340,1,28975
341,0,7641
342,0,12858
343,0,15495
344,0,18016
345,0,22005
346,1,16473
347,0,26107
348,1,7259
349,0,3611
350,0,2455
351,0,25293
352,0,18287
353,0,320
354,0,18191
355,1,22840
356,1,29743
357,1,14839
358,1,3505
359,1,11944
360,0,24058
361,1,14266
362,0,24662
363,0,4092
365,0,8715
366,1,30327
367,1,15598
368,0,29742
369,0,3692
371,0,830
372,0,6333
373,0,7735
374,1,25971
375,0,27919
376,0,20711
377,0,20346
378,1,6739
379,1,12894
380,0,21462
381,1,3998
382,0,20221
383,0,19490
384,1,20880
385,1,27308
386,1,28862
387,0,3020
388,0,19704
389,0,24039
390,0,12281
391,1,26082
392,0,10921
393,1,22441
394,0,28071
395,1,19129
396,0,20006
397,1,12208
398,0,5842
399,1,25094
400,1,30433
401,0,23018
402,0,1343
403,1,5660
404,0,15454
405,1,18142
406,0,21081
409,1,9432
410,0,15143
411,0,4108
412,1,24823
413,1,460
414,0,990
415,0,4238
416,0,21354
418,0,9615
419,0,12340
420,1,13599
421,0,17421
422,1,30166
423,0,19580
424,0,7401
426,0,9819
427,0,19524
428,0,25344
429,0,9434
430,0,2276
431,0,24014
432,0,9291
433,0,8451
434,0,3069
435,1,25091
436,1,29687
437,1,23059
438,0,9567
439,0,21932
441,0,11444
442,0,21588
443,0,3802
444,0,1774
445,0,18691
446,0,1829
447,1,14754
448,1,3384
449,1,16514
450,0,2281
452,1,26987
453,1,11768
454,0,22546
455,0,17199
456,0,23211
457,0,1974
458,0,18363
459,1,19264
460,1,13672
461,0,25496
462,0,21663
463,1,26244
464,0,29941
465,0,2656
466,1,15549
467,1,24817
468,0,25577
469,0,26571
470,1,13296
471,0,8594
472,0,8957
473,0,4346
474,0,17741
475,0,25771
476,1,19865
477,1,25339
478,0,24293
479,1,9426
480,0,29386
481,0,27488
482,0,21931
483,0,6573
484,1,1982
485,1,4745
487,1,30356
488,0,3549
489,1,22568
490,0,2598
491,1,15063
492,0,6543
493,1,14098
494,1,4570
495,1,29401
496,1,14785
497,0,26255
498,1,2094
500,1,7477
501,0,29383
502,1,1783
503,1,18823
504,1,7368
505,0,2814
506,1,11098
507,1,3870
508,0,27594
509,0,1752
510,0,10240
511,0,1686
512,1,17356
513,0,17310
514,0,2321
515,1,13516
516,0,3694
517,0,22528
518,1,10309
519,0,1425
520,0,22586
521,0,19744
522,0,10877
523,0,31026
524,0,851
525,1,26673
526,1,14559
527,0,29901
528,1,24289
529,1,21223
530,1,30770
532,0,4339
533,0,14700
534,1,29775
535,0,2729
536,1,30867
537,1,15100
538,0,17153
539,0,14349
540,0,25938
542,1,11140
543,1,22037
544,0,3892
545,1,9329
546,0,3130
547,1,5976
548,0,25352
549,1,26478
550,1,22304
551,0,15166
552,0,30798
553,1,2584
554,1,29570
555,0,10108
556,0,4407
557,1,11342
558,1,26109
559,0,20129
560,0,11623
561,0,1710
562,0,22818
563,0,555
564,0,26395
565,1,6751
566,0,15306
567,1,12869
568,0,28166
569,0,20109
570,0,11113
571,0,11606
573,1,5720
574,0,23861
575,0,20421
576,0,9425
577,0,19743
578,0,7504
579,0,2785
580,0,7377
581,0,19463
582,0,30980
583,0,12397
584,0,27057
585,0,28525
586,1,6447
587,1,7915
588,0,3684
591,0,22687
592,0,29980
593,0,12903
594,0,20666
595,0,19730
596,0,26191
597,0,26913
598,1,3872
599,0,27600
600,0,26978
601,0,13588
602,0,12065
603,0,24755
604,0,8221
605,0,29613
606,0,20623
607,0,17894
608,1,17228
609,1,16569
610,0,20145
611,0,25395
612,0,12164
613,0,23465
614,1,21650
615,0,19255
616,0,11638
617,0,5522
618,0,15422
619,1,11925
620,1,15654
622,1,18936
623,1,21984
625,0,5744
626,1,8488
627,0,25197
628,0,2476
629,1,26986
630,0,21502
631,0,20301
632,1,17185
633,0,29798
634,0,10770
635,0,26536
636,1,12225
638,0,14532
639,1,11503
640,1,14373
641,0,29752
642,1,948
643,1,1465
644,1,24929
645,0,11257
646,0,12243
647,0,3877
648,0,1422
649,1,2587
650,0,8765
651,0,28786
652,0,5256
653,0,553
654,1,4451
655,0,2061
656,0,23799
657,0,20999
658,1,14143
659,0,10188
660,1,13154
661,0,16529
662,1,26041
663,0,24672
664,1,12285
665,0,53
666,0,18474
667,1,12914
669,0,9932
670,0,15072
671,0,16485
672,0,25261
673,0,4971
674,1,14198
675,0,28781
676,0,13324
677,1,25306
679,1,5967
680,1,30293
681,1,10066
682,1,21783
683,0,24621
684,0,6575
685,0,10038
686,1,14894
687,0,7841
688,1,10259
690,0,991
691,1,2012
692,1,12176
693,0,25028
694,0,18599
695,0,3805
696,1,21847
697,1,12354
698,0,4873
699,0,23470
700,0,14570
701,0,6768
702,0,18198
703,0,28491
704,1,12097
705,1,15026
706,1,22428
707,0,8857
708,1,20162
709,1,444
710,1,10385
711,0,18701
712,1,20713
713,0,29783
714,0,12139
715,1,13482
716,0,27686
717,1,17759
718,0,4523
719,1,12900
720,1,13696
721,0,8895
722,0,8624
723,0,12829
724,0,15659
725,1,27533
726,0,7750
727,0,30291
728,1,17781
729,0,27677
730,1,23614
731,1,17218
732,1,5451
733,0,25356
734,0,29653
735,0,23053
736,0,26936
737,0,8966
738,0,24648
739,1,14964
740,0,28367
741,1,1832
742,0,5019
743,1,21309
744,0,5374
746,0,13908
747,0,5845
748,0,111
749,0,21527
750,0,773
751,0,16621
752,0,1438
753,0,7926
754,0,1224
755,0,23589
756,0,28647
757,1,11256
758,1,21443
760,1,21010
761,0,20338
762,0,107
763,1,7086
764,0,11083
765,0,13759
766,0,1471
768,0,17522
769,0,30927
770,0,8475
771,0,16397
772,0,1088
773,1,3660
774,1,3578
775,0,22363
776,1,16943
777,1,27415
778,0,4285
779,1,2713
780,0,15218
781,1,25828
782,0,21894
783,0,3560
784,0,28424
785,0,1443
786,0,4354
787,0,18021
788,0,12118
789,1,17823
790,0,5038
791,0,15499
793,1,15077
794,0,10207
795,1,4368
796,1,17080
797,0,4998
798,0,23354
799,0,9442
800,0,6339
801,1,14097
802,0,25560
803,0,10769
804,1,9285
805,0,25855
806,0,26049
807,0,20070
808,0,20429
809,0,25392
810,0,11044
811,0,13266
812,1,26816
813,1,11998
814,1,16765
815,0,26313
816,1,20583
817,1,10265
818,0,702
819,0,28498
820,0,9890
821,0,13468
822,0,11081
823,1,518
824,1,21116
825,0,25367
826,1,28682
827,1,3680
829,1,6152
830,0,2533
831,0,7308
832,0,20385
833,0,21186
834,1,24284
835,0,13848
836,0,10741
837,1,29469
838,0,17440
839,1,20967
840,0,27889
841,1,17614
842,1,6355
843,1,9801
844,1,17665
845,0,25936
846,0,3391
847,0,4232
848,1,856
849,0,28750
851,1,11432
852,1,1310
853,1,18323
854,0,28535
855,1,1825
856,0,14548
857,0,25553
858,0,17498
859,0,6286
860,0,16363
861,1,27897
862,0,11423
863,0,21201
864,1,19583
865,0,24911
866,0,18459
867,1,4807
868,0,28671
869,0,1934
870,0,6968
871,0,393
872,0,20460
873,1,24845
874,1,8301
875,1,5558
876,0,19842
878,0,27880
879,0,205
880,1,25394
881,0,7263
882,0,22502
883,0,21518
884,0,27559
885,1,4497
886,1,9774
887,1,14849
888,0,735
889,0,2250
890,1,14370
891,0,30380
892,0,992
893,0,24011
894,1,13418
895,1,9382
896,1,1656
897,0,22050
898,0,13917
899,0,23152
900,0,11632
901,0,27419
902,0,18773
903,0,24409
904,1,3145
905,1,27309
906,1,26797
908,0,1363
909,0,20731
910,0,10424
911,1,19608
912,0,13080
913,0,15024
914,0,29599
915,1,23419
916,0,20053
917,0,4973
918,0,9753
919,1,6910
920,1,30210
921,1,5634
922,0,12353
923,0,17708
924,1,27014
925,1,28656
926,0,12935
927,1,29757
928,0,25364
929,1,4102
930,0,6427
931,0,15706
932,0,14945
933,0,14991
934,0,29664
935,1,25849
936,0,12626
937,0,25749
938,0,9463
940,0,17942
941,0,8020
942,1,4977
943,0,28565
944,1,16356
945,1,29472
946,0,7646
947,1,13830
948,0,6498
949,1,26001
950,1,14496
951,0,1304
953,0,1923
954,1,17653
955,1,24270
956,0,15918
958,0,5344
959,0,18928
960,0,7884
961,0,29315
962,1,20947
963,0,27495
964,0,18840
965,0,20514
966,1,245
967,0,28618
968,1,27875
969,1,29939
970,0,29771
971,0,11151
972,1,5993
974,0,16168
975,0,29629
976,1,1002
977,0,24595
978,0,1769
980,0,9361
981,0,2977
983,1,12796
984,1,24754
985,1,21790
986,1,2215
987,0,2028
988,1,20537
990,0,6156
991,1,7101
992,0,16690
993,1,30653
994,1,18652
995,0,8799
996,0,607
997,1,2595
998,0,13027
999,1,13886
1000,1,25845
1001,1,19472
1002,0,19694
1003,0,1590
1004,0,28747
1005,1,13144
1006,0,2490
1007,1,13427
1008,0,9386
1009,1,24185
1010,0,3057
1011,0,7531
1012,0,21199
1013,0,17371
1014,0,3563
1015,0,17129
1016,1,13
1017,1,6771
1018,1,15497
1019,0,20449
1020,0,16811
1021,1,3898
1022,1,18426
1023,0,17725
1024,0,14872
1028,1,924
1029,1,24897
1030,0,2426
1031,0,11615
1032,0,10717
1033,1,22695
1034,0,15021
1035,0,29457
1036,1,20159
1037,0,8302
1038,1,5648
1039,1,8886
1041,0,13443
1042,1,4509
1043,0,6830
1044,1,1359
1045,0,12027
1046,0,12732
1047,1,13774
1048,1,21886
1049,0,9255
1050,1,30075
1051,0,3529
1052,1,9757
1053,1,23888
1054,1,12589
1055,0,30101
1056,0,29893
1057,0,15885
1058,1,23885
1059,0,23174
1060,0,2602
1061,0,17171
1062,0,23298
1063,0,12644
1064,1,6288
1065,0,20689
1067,1,9478
1068,0,11092
1069,1,2833
1070,1,5920
1071,0,4718
1072,1,16489
1073,0,10787
1074,1,25953
1075,0,11838
1078,0,25333
1079,1,30437
1080,0,2618
1081,0,14249
1082,1,8465
1083,0,19860
1085,1,4590
1086,0,8719
1087,0,22973
1088,1,18085
1089,1,23839
1090,0,8812
1091,0,7947
1092,0,27534
1093,0,3954
1094,0,26885
1095,0,14223
1096,0,9417
1097,1,4668
1098,1,9242
1099,0,26442
1100,0,26066
1101,0,26682
1102,0,22548
1104,1,8520
1105,1,1483
1106,1,15457
1107,0,18676
1108,1,23033
1109,0,22258
1110,1,30190
1111,0,25433
1112,0,21181
1113,0,27282
1114,0,21230
1115,1,670
1116,1,20305
1117,1,6189
1119,1,24728
1120,1,22387
1121,0,14284
1122,0,3536
1124,1,2891
1125,1,8402
1126,1,5131
1127,0,9042
1128,0,13477
1130,0,23887
1131,0,2581
1132,0,16527
1133,0,20310
1134,0,3835
1135,1,26230
1136,0,27218
1137,0,5384
1138,1,19309
1139,0,3033
1140,0,18014
1141,1,30564
1142,1,15196
1143,0,18937
1144,0,27630
1145,0,11847
1146,0,20657
1147,1,1838
1148,1,9678
1149,0,6253
1150,0,18158
1151,0,1766
1152,0,776
1153,0,15681
1154,0,4152
1155,1,17660
1156,0,10229
1157,0,6243
1158,0,249
1159,0,21868
1160,0,23466
1161,1,28614
1162,1,10737
1163,0,10168
1164,0,30236
1165,0,28134
1167,1,19456
1168,1,126
1169,0,14780
1170,0,7305
1172,1,12364
1173,1,20513
1174,1,30891
1175,1,17450
1176,0,10273
1177,1,7790
1178,0,7642
1179,0,15696
1180,1,2128
1181,0,29483
1182,1,6258
1183,0,11143
1184,1,663
1185,1,5710
1186,0,2052
1187,1,6024
1188,1,11814
1189,1,14981
1190,1,10752
1191,0,7854
1192,0,7838
1194,1,14498
1195,0,18903
1196,0,4280
1197,0,12622
1198,1,16956
1200,0,7465
1201,1,3342
1202,0,22872
1203,0,17633
1204,0,26334
1205,0,28308
1206,0,10605
1208,0,13413
1209,0,27150
1210,0,28263
1211,1,25588
1212,0,25076
1213,0,9337
1214,1,11650
1215,0,2303
1216,0,26787
1217,1,24252
1218,0,8017
1219,1,22006
1220,1,27189
1221,0,24439
1222,0,377
1223,1,8743
1224,1,20893
1225,0,20906
1226,0,30194
1227,1,8855
1228,0,6445
1229,1,21951
1230,1,14503
1231,1,17513
1232,1,26857
1233,1,30549
1234,0,15689
1235,0,11240
1236,0,28291
1237,1,19111
1238,0,537
1239,1,5716
1240,0,5195
1241,0,15906
1242,0,23714
1243,1,5289
1244,0,12967
1245,0,7428
1246,1,558
1247,0,4405
1248,1,17468
1249,1,3691
1250,1,12252
1251,0,25652
1252,1,22691
1253,0,5180
1254,1,11824
1255,0,5267
1256,0,25678
1257,1,1705
1258,1,2154
1259,1,29686
1260,0,15975
1261,0,16797
1262,0,3991
1263,1,19998
1264,0,2822
1265,0,16458
1266,0,29703
1267,1,9264
1269,0,18899
1270,0,194
1271,1,30614
1272,0,2606
1274,1,26697
1275,0,26674
1276,1,7216
1278,1,17321
1279,1,18105
1280,0,388
1281,0,90
1282,1,20928
1283,1,7000
1284,0,25974
1285,0,21074
1286,0,4759
1287,1,21973
1288,0,27437
1289,0,15269
1290,1,25481
1291,0,28497
1293,0,7839
1294,0,5198
1295,0,8998
1296,0,19170
1297,0,22146
1298,0,7394
1299,1,1914
1300,0,8105
1301,1,9601
1302,0,8769
1303,1,11820
1305,0,27800
1306,0,10518
1307,1,190
1308,0,30525
1309,0,11250
1310,0,27475
1311,0,26519
1312,0,14387
1313,1,5177
1314,0,25591
1315,0,27996
1317,0,15171
1318,0,29026
1319,1,13990
1320,0,18155
1321,1,29847
1323,0,13515
1324,0,29257
1325,0,6879
1326,1,24722
1327,1,26811
1328,1,10806
1329,1,30002
1330,1,24006
1331,1,21864
1332,0,12025
1333,0,28702
1334,1,2669
1336,0,2500
1337,1,25400
1338,0,30373
1339,1,22739
1340,1,22479
1341,1,326
1342,1,16082
1343,0,4771
1344,0,21331
1345,0,25764
1346,0,21566
1348,1,10677
1349,0,28845
1350,1,22904
1351,1,21423
1352,0,28261
1353,0,3418
1354,0,1013
1356,0,20416
1357,0,19401
1358,0,19431
1359,0,19356
1360,1,18987
1361,0,12222
1362,0,29051
1363,0,12307
1364,1,156
1365,0,22340
1366,1,3884
1368,0,17163
1369,0,6135
1370,0,29471
1371,0,18025
1372,1,29809
1373,1,17346
1374,0,30142
1375,0,116
1376,0,4726
1377,0,12470
1378,0,30228
1379,1,8127
1380,1,14414
1381,0,113
1382,1,21492
1383,1,21052
1384,1,23343
1385,0,19254
1386,1,26547
1389,1,25650
1390,0,10414
1391,1,1255
1392,0,12379
1393,0,19613
1394,0,8175
1395,0,11926
1396,0,11519
1397,1,349
1398,0,13569
1399,1,528
1400,0,6659
1401,0,3526
1402,0,11620
1403,1,24752
1404,1,1518
1405,0,2758
1406,0,5886
1407,0,16095
1408,1,6518
1409,1,25461
1410,0,30633
1412,1,22264
1413,1,28878
1414,1,1124
1415,0,5138
1416,0,18912
1417,0,1242
1418,1,29539
1419,0,2131
1420,1,11156
1421,1,4068
1422,0,11714
1423,0,3032
1424,0,20671
1425,1,5459
1427,0,19225
1428,0,16432
1429,0,26599
1430,1,15543
1431,0,28483
1432,0,14838
1433,0,20217
1435,0,20025
1436,0,131
1437,0,164
1438,0,3053
1439,1,5169
1440,1,17025
1441,0,261
1442,0,29873
1443,0,24850
1444,0,25955
1445,0,11462
1446,0,27723
1447,0,8764
1448,0,13918
1449,0,18883
1450,1,12213
1451,1,11909
1452,0,13744
1453,0,8573
1454,1,24195
1455,0,13722
1456,1,12934
1457,0,21737
1458,0,7877
1459,0,9234
1460,1,14343
1461,0,26460
1462,0,29512
1463,0,26027
1464,0,25060
1465,0,5331
1466,0,28938
1467,0,15531
1468,1,14595
1469,0,13518
1470,0,13358
1471,0,22411
1472,0,15685
1473,0,7734
1474,1,20975
1475,0,22816
1476,1,11637
1477,0,17144
1478,0,29997
1479,0,7480
1480,0,13891
1481,0,28837
1483,0,10105
1484,0,20242
1485,0,1233
1486,1,8150
1487,0,19767
1488,0,28202
1489,1,3247
1490,1,3492
1491,0,10686
1492,0,19396
1493,1,13915
1494,1,27307
1495,0,6952
1496,1,3771
1497,1,5257
1498,0,2594
1499,1,28814
1500,0,1854
1501,1,23280
1502,0,23798
1503,0,24822
1504,0,13708
1505,1,17046
1506,0,10987
1507,1,3495
1508,0,28224
1509,1,21780
1510,1,9419
1511,0,21971
1512,0,14809
1513,1,19835
1514,1,4037
1515,1,23745
1516,1,4954
1517,1,30457
1518,0,25614
1519,1,10809
1520,0,16112
1521,0,18261
1522,1,19663
1525,0,24627
1526,0,20673
1527,1,30638
1528,1,15558
1529,0,5065
1530,1,1612
1531,0,17377
1532,0,2180
1533,1,3484
1534,1,18000
1535,0,11757
1536,1,6708
1537,1,8834
1539,1,21252
1540,0,20669
1542,0,5643
1543,0,10347
1544,0,22603
1545,1,2776
1546,0,25465
1547,0,7690
1549,0,1011
1550,0,1811
1551,1,22759
1552,0,22213
1553,0,2582
1554,0,29154
1555,0,13078
1556,0,24330
1557,0,10070
1558,1,27263
1559,1,175
1560,0,20796
1561,1,9342
1562,1,22246
1563,1,26222
1564,0,2850
1565,0,26958
1566,1,10973
1567,0,6636
1568,0,19972
1569,1,7952
1570,0,9422
1571,0,17686
1572,0,471
1573,0,5875
1574,0,1662
1575,0,23647
1576,0,24506
1577,1,7510
1578,1,30839
1579,0,18121
1580,0,7326
1582,0,26435
1583,1,3009
1584,1,21749
1585,1,24243
1586,0,5057
1587,1,22381
1588,0,21988
1589,0,7881
1590,0,28560
1591,1,24069
1592,1,20358
1593,0,11004
1594,0,29532
1595,1,2363
1596,1,22834
1597,0,9153
1598,0,2811
1599,0,6901
1600,0,26602
1601,0,28216
1602,0,4808
1604,1,25473
1606,1,7529
1607,0,5556
1608,0,4888
1609,0,13071
1610,0,29356
1611,1,153
1612,1,15942
1613,1,7594
1614,0,29949
1615,0,958
1616,0,30177
1617,0,4515
1618,1,3398
1619,0,5126
1620,1,28047
1621,0,22982
1622,0,8702
1623,1,23066
1624,0,30422
1625,0,9817
1626,1,9017
1627,1,9677
1628,0,21523
1629,0,23560
1630,0,28712
1631,0,23433
1632,0,3021
1634,0,13337
1635,1,12480
1637,1,15222
1638,1,21346
1639,0,12961
1640,0,12977
1641,1,23811
1643,0,20364
1644,1,21489
1645,0,21888
1646,0,10800
1647,0,29405
1648,0,18352
1649,1,19219
1650,1,8117
1651,1,14115
1652,0,18177
1653,1,11985
1654,0,4950
1656,1,18993
1657,1,19615
1658,0,12375
1659,0,787
1660,1,3912
1661,0,712
1662,0,25950
1663,0,8807
1664,0,17806
1665,0,16883
1666,0,12618
1667,1,5428
1669,0,16890
1670,1,23112
1671,0,9728
1672,0,11138
1674,1,621
1675,0,29084
1676,1,10318
1677,0,27779
1678,0,13920
1679,0,14293
1680,0,20678
1681,0,9413
1682,1,14682
1683,1,23857
1685,1,14060
1686,1,11048
1687,0,17610
1688,0,5849
1689,0,7643
1690,1,22240
1691,0,5823
1692,1,15340
1693,0,21143
1694,0,17255
1695,1,11169
1696,0,25118
1697,0,28437
1698,1,12293
1699,0,22795
1700,1,10024
1701,0,25905
1702,0,18176
1703,1,25499
1704,1,22901
1705,1,26473
1706,0,27183
1707,1,26117
1708,1,7187
1709,1,13172
1710,0,24659
1711,1,19277
1712,0,18895
1713,1,20464
1714,0,30274
1715,1,13890
1716,0,17109
1717,1,17467
1718,1,15634
1719,0,6514
1720,1,24028
1721,0,20812
1722,1,23189
1723,0,27803
1724,0,18807
1725,0,2169
1726,1,15082
1727,1,26340
1728,0,11733
1729,0,15981
1730,0,18374
1731,1,5535
1732,1,16736
1733,0,6304
1734,1,25507
1735,0,9070
1736,0,8617
1737,1,7919
1738,1,19001
1739,0,16103
1741,0,6500
1742,0,21255
1743,1,27192
1744,0,6565
1745,0,23175
1746,0,25784
1747,1,24261
1748,1,29055
1749,1,24800
1750,0,5030
1751,0,4984
1752,0,18375
1753,1,28242
1754,0,19567
1755,0,21335
1756,1,28719
1757,0,15610
1758,0,571
1759,1,2805
1760,0,20314
1761,1,18145
1762,0,12963
1763,1,6202
1764,1,30861
1765,0,3457
1766,0,3608
1767,0,7323
1768,1,20454
1769,1,17565
1770,1,6660
1771,0,8381
1772,0,15776
1773,1,28206
1774,1,25636
1775,0,21095
1776,0,9473
1777,0,22275
1778,1,12803
1779,0,28162
1780,0,10664
1781,0,25624
1782,1,9948
1783,0,17808
1784,1,903
1785,0,777
1786,1,26676
1787,0,23746
1788,0,9630
1789,0,6340
1790,1,29813
1791,0,15318
1792,0,23333
1793,0,12383
1794,1,29999
1795,1,3981
1796,0,29951
1797,0,13120
1798,0,19951
1799,0,8553
1800,0,11586
1801,0,24884
1802,0,17902
1803,1,1702
1804,1,16219
1805,0,3216
1806,0,14951
1807,1,5821
1808,0,10426
1809,1,27159
1810,0,12357
1812,0,24390
1813,0,8141
1814,0,27906
1815,0,12718
1816,1,28600
1817,0,29545
1818,0,24115
1819,1,20891
1820,1,28964
1821,0,1037
1822,0,11525
1823,0,16167
1824,0,18646
1825,0,10299
1826,0,8797
1827,0,10156
1828,0,28092
1829,1,6715
1830,1,7973
1831,0,29764
1832,1,8476
1833,1,8212
1834,0,5956
1835,0,29580
1836,1,11065
1837,0,4437
1838,0,24857
1839,1,145
1840,0,8128
1841,1,25551
1842,0,26758
1843,1,17082
1844,1,9220
1845,1,2617
1847,1,3901
1848,0,15517
1849,1,28742
1850,1,1510
1852,1,24998
1853,1,30149
1854,0,5848
1855,0,9562
1856,1,2267
1857,0,19369
1858,1,28510
1859,1,4698
1860,0,365
1861,1,309
1862,0,3008
1863,0,15768
1864,0,18292
1865,0,27413
1866,0,14330
1867,1,821
1868,1,21592
1869,0,3681
1870,0,19841
1871,1,29910
1872,0,20480
1873,1,12521
1874,0,7127
1875,0,9195
1876,0,26342
1877,0,4367
1878,1,9750
1880,1,25546
1881,0,28108
1882,0,22592
1883,0,13711
1884,0,12355
1885,0,18252
1886,0,17714
1887,0,16408
1888,0,21555
1889,0,22022
1890,0,23665
1891,0,6275
1892,0,956
1893,1,12080
1894,0,11625
1895,0,4539
1896,1,10019
1897,0,16745
1898,0,29699
1899,1,8191
1900,1,24180
1901,0,2285
1902,1,27531
1903,1,24647
1904,0,4163
1905,0,19732
1906,1,6961
1907,1,16094
1908,0,19126
1909,1,25026
1910,1,6665
1911,0,29296
1912,0,27386
1913,1,24585
1914,1,4671
1915,1,27713
1916,0,28351
1917,0,27065
1918,1,25506
1920,0,11594
1922,0,4333
1923,1,7588
1924,1,17625
1925,0,3718
1926,1,5069
1928,0,25862
1929,0,3830
1930,1,13214
1931,0,17562
1932,0,20018
1933,1,16003
1934,0,21084
1935,0,17382
1936,0,10536
1937,1,339
1938,0,14840
1939,1,8570
1940,0,3291
1941,0,12668
1942,0,18782
1943,0,30128
1944,1,585
1945,0,1786
1946,0,25311
1947,0,980
1948,0,28126
1949,0,18146
1950,1,10878
1951,0,13769
1952,0,13736
1953,1,21590
1954,0,25866
1955,0,2159
1956,0,1896
1957,1,21019
1958,1,17826
1959,1,11212
1960,1,26186
1961,1,25658
1962,1,9570
1963,0,19499
1964,1,30003
1965,0,20337
1966,0,23269
1967,0,25700
1968,0,26093
1969,0,4124
1970,0,27236
1972,0,20134
1973,1,7813
1974,0,14188
1975,1,16515
1976,0,12203
1977,1,2069
1978,0,18501
1979,1,18779
1980,1,29831
1981,0,9414
1982,1,21985
1983,0,12069
1984,1,8282
1985,1,21177
